,switch,flow_packet_count,flow_byte_count,port_rx_packets,port_rx_bytes,port_rx_errors,port_tx_packets,port_tx_bytes,port_tx_errors,agg_byte_count,agg_packet_count,agg_flow_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
2,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
4,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
39,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
2,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
4,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
39,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
2,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
4,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
39,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
2,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
4,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
39,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
0,1,12314,18576356,145144,219189889,0,62841,94604773,0,1770552,1171,1,aaltosea1,rohe_test_isntance,experiment1,1699531328.25984,rohe_test_stage,sdn,-3.8877551020348466,-1
1,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.161795407097333,-1
3,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
38,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
0,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-0.944444444439859,-1
35,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
32,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
29,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
26,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
23,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
20,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
17,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
14,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
